sim_idx,converged,gen_beta,matlab_beta,gen_lam,matlab_lam,gen_gamma,matlab_gamma,gen_alpha,matlab_alpha,gen_kappa,matlab_kappa,our_beta,our_lam,our_gamma,our_alpha,our_kappa
0,True,2.2417255383238635,2.3790956863340043,3.43067113563108e-07,,1.590834332715171,,1.0,0.8684697793349178,0.0,0.0,0.01,0.1,0.01,0.0001,4
1,True,2.4001255245666564,2.18372880878161,0.1924248722782424,,6.860803118671561,,0.6792028267724519,0.7549524297873325,0.0,0.0,0.01,0.1,8.55009145648574,0.0001,4
2,True,2.3282585227037416,2.2879117248378997,0.36351546807090473,,0.23777680712129468,,0.3981119794066902,0.4262688349918522,0.0,0.0,8.06896315821863,0.4945584751263074,2.0,0.003981638190961756,1
3,True,2.829345035159296,2.7081669790454357,0.3803371069313866,,0.31964491467257,,0.7052948321026663,0.7947462795988596,0.0,0.0,6.032078374603154,0.1,3.2031809035952,0.00477443006224385,1
4,True,2.687187094467849,2.703620922313503,0.00010000526225616115,,0.3125951575803118,,0.795505045598826,0.7750378815608302,0.0,0.0,0.01,0.1,0.01,0.0001,4
5,True,2.170234578801411,2.149535453600354,0.018523047480433912,,1.0016749722118967,,1.0,0.9062246350747979,0.0,0.0,0.01,0.1,0.01,0.0001,4
6,True,2.147112405988379,2.1706825431488053,4.3351377949914345e-10,,1.1479126604699599,,0.6833218243783534,0.5346220725273452,0.0,0.0,0.01,0.1,0.01,0.0001,4
7,True,2.1558699380887756,2.3336702596672665,0.10203835150002982,,1.9289133507545393,,1.0,0.9999999942704496,0.0,0.0,1.3968591524297274,0.1,15.971377994614057,0.02332150133457436,4
8,True,2.977113246769746,2.6945968556458895,9.094471648520185e-05,,0.35252472838993076,,0.7663186421913827,0.7196347612866789,0.0,0.0,0.01,0.1,5.863742921917128,0.0001,4
9,True,2.7557329144037097,3.1855699351447213,0.542133683752227,,0.4500577998164543,,0.7151522854999194,0.6621502873891326,0.0,0.0,0.01,0.1,0.01,0.0001,4
10,True,1.5762615998052887,1.6006741800615232,1.2455069523088766,,0.5987523624899327,,0.9999999663931236,0.9302857672562513,0.0,0.0,0.01,0.1,0.01,0.0001,4
11,True,2.6160626920062913,2.5729454362427067,6.136764146389289e-09,,0.3303327795521754,,1.0,0.9990000009246511,0.0,0.0,0.01,0.1,0.01,0.0001,4
12,True,3.1165651973790514,3.201385645304986,0.2049957544143247,,0.14021998729190202,,0.6182692598549732,0.6157230931009099,0.0,0.0,0.01,0.1,0.01,0.0001,4
13,True,2.0971645912542716,2.256601485250855,0.357341444464393,,1.9383761372154764,,0.9786397068023717,0.9401977626998147,0.0,0.0,0.01,0.1,0.01,0.0001,4
14,True,1.969938608749103,1.8971218005340544,0.35465367748588894,,2.228624146236454,,1.0,0.9999971882341602,0.0,0.0,20.0,0.1,2.0,0.0005398777715122647,1
15,True,1.983884043893026,1.798013094271886,1.3635384058022289e-11,,4.8738450929681205,,0.8846687112261684,0.7611682545280563,0.0,0.0,0.01,0.1,0.01,0.0001,4
16,True,2.3052963729991798,2.2187473931267543,2.9264396487493907e-07,,10.0,,0.8159185375000241,0.8365107533590055,0.0,0.0,0.01,0.1,0.01,0.0001,4
17,True,2.6637177892004114,2.6127271371785863,0.5004629361755485,,0.2195398541782773,,0.4575139413118394,0.4843756178530975,0.0,0.0,0.01,0.1,0.01,0.0001,4
18,True,2.1811254453257067,2.6299626567479657,0.3703330966749162,,0.7925497559564971,,0.7061191863424968,0.3939321561706964,0.0,0.0,20.0,0.1,11.541660555417154,0.00040759398581776134,1
19,True,2.241045031101897,1.9418979913182852,0.21921906097452848,,1.1832631722806601,,0.6781393849073604,0.7323655925268496,0.0,0.0,9.525500535122163,0.45303075936099946,12.495913035147646,0.0001,4
20,True,2.296051822957738,2.59097993768991,0.7744614145500645,,0.2626003895531617,,0.9216837472840457,0.8792213433364322,0.0,0.0,0.01,0.1,0.01,0.0001,4
21,True,1.4152758287271856,1.3618646693949512,0.6131728156602897,,0.8228100043429618,,0.9999999450865381,0.981043078306427,0.0,0.0,0.01,0.1,0.01,0.0001,4
22,True,2.6423058554422907,2.8128378178122313,1.3217720748662028e-08,,0.19448985442713176,,0.7394910880231961,0.7766840438222722,0.0,0.0,0.01,0.1,0.01,0.0001,4
23,True,2.3938884017041286,2.431104453433969,0.19083923059234173,,1.027068949649828,,0.9697624107722823,0.9999999721516918,0.0,0.0,20.0,0.1,4.368192555343862,0.0001678754290793799,1
24,True,2.28130113046371,2.3668827686073923,0.00010005706648534229,,0.38649278981376356,,0.7848161627781975,0.7432511067867841,0.0,0.0,0.01,0.1,0.01,0.0001,4
25,True,2.4285513526857914,2.764625236253802,0.032558278544515186,,0.772102446317827,,0.6902158027651776,0.741673783926497,0.0,0.0,12.568612375792664,5.0,4.33980330461171,0.0001,1
26,True,2.789310242608484,2.731488027842287,0.2708395150860222,,0.551276833866534,,0.5452630378143277,0.4490285740347236,0.0,0.0,0.01,0.1,0.01,0.0001,4
27,True,1.5623837507158196,1.961248119009482,1.6018452951311202,,0.34683841741467186,,0.671422206175452,0.6949950823246102,0.0,0.0,0.01,0.1,0.01,0.0001,4
28,True,2.61190714750525,3.0388658959682475,0.5226807431924815,,0.33199023745189393,,0.407922838728857,0.4667338230911171,0.0,0.0,0.01,0.9075727441151829,16.36234830343011,0.0001,4
29,True,2.193631316576235,2.5723591234504,0.2998752845110067,,1.3021972037465228,,1.0,0.999999992470867,0.0,0.0,0.01570859149017462,5.0,12.247151536771982,0.010087691414309942,3
